No,Lokasi Aset,Desa/Kelurahan,Kecamatan,Kabupaten/Kota,Provinsi,Tanah, Bangunan 1 , Bangunan 2 , Bangunan 3 , Bangunan 4 , Bangunan 5 , Bangunan 6 , Bangunan 7 , Bangunan 8 , Bangunan 9 , Bangunan 10 , Bangunan 11 , Bangunan 12 , Bangunan 13 , Bangunan 14 , Bangunan 15 , Bangunan 16 , Bangunan 17 , Bangunan 18 , Bangunan 19 , Bangunan 20 , Sarana Pelengkap (SPL) ,Jumlah,Jumlah (Pembulatan), Tanah (m²),Bangunan 1 (m²),Bangunan 2 (m²),Bangunan 3 (m²),Bangunan 4(m²),Bangunan 5 (m²),Bangunan 6 (m²),Bangunan 7 (m²),Bangunan 8 (m²),Bangunan 9 (m²),Bangunan 10 (m²),Bangunan 11 (m²),Bangunan 12 (m²),Bangunan 13 (m²),Bangunan 14 (m²),Bangunan 15 (m²),Bangunan 16 (m²),Bangunan 17 (m²),Bangunan 18 (m²),Bangunan 19 (m²),Bangunan 20 (m²)
1,Jalan Pudak Gang IV,Desa Kaliasem,Kecamatan Banjar,Kabupaten Buleleng,Bali," Rp507,600,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp507,600,000 "," Rp507,600,000 ",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Jalan Pudak Gang IV,Desa Kaliasem,Kecamatan Banjar,Kabupaten Buleleng,Bali," Rp261,900,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp261,900,000 "," Rp261,900,000 ",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Jalan Surapati No. 19,Kelurahan Dangin Puri,Kecamatan Denpasar Timur,Kota Denpasar,Bali," Rp18,368,000,000 "," Rp261,259,000 "," Rp228,060,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp31,784,000 "," Rp18,889,103,000 "," Rp18,889,100,000 ",1312,137,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Jalan Karang Bayan, Perumahan Kampung Wisata",Desa Karang Bayan,Kecamatan Lingsar,Kabupaten Lombok Barat,Nusa Tenggara Barat," Rp15,323,252,000 "," Rp110,160,000 "," Rp231,660,000 "," Rp538,112,000 "," Rp149,916,000 "," Rp12,100,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp155,840,000 "," Rp16,521,040,000 "," Rp16,521,000,000 ",33901,30,60,128,156,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Jalan Kresek No. 12,Kelurahan Sesetan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp14,437,500,000 "," Rp3,828,264,000 "," Rp486,720,000 "," Rp326,700,000 "," Rp962,320,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp233,969,000 "," Rp20,275,473,000 "," Rp20,275,500,000 ",2625,748,104,121,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Perum. Bhuana Asri Bungkulan,Desa Bungkulan,Kecamatan Sawan,Kabupaten Buleleng,Bali," Rp64,000,000 "," Rp52,920,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp116,920,000 "," Rp116,920,000 ",80,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Jalan Bambu Kuning Utama No. 16,Desa Canggu,Kecamatan Kuta Utara,Kabupaten Badung,Bali," Rp728,000,000 "," Rp625,959,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp11,611,000 "," Rp1,365,570,000 "," Rp1,366,000,000 ",130,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Jalan Pulau Kawe No. 61,Kelurahan Pedungan,Kecamatan Denpasar Selatan,Kota Denpasar,Bali," Rp11,029,500,000 "," Rp616,032,000 "," Rp44,040,000 "," Rp41,446,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp27,340,000 "," Rp11,758,358,000 "," Rp11,758,400,000 ",950,279,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Jalan Singasari, Perumahan Uma Punggul III, Br. Tag-Tag Kaja",Kelurahan Peguyangan,Kecamatan Denpasar Utara,Kota Denpasar,Bali," Rp450,000,000 "," Rp812,724,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp21,051,000 "," Rp1,283,775,000 "," Rp1,283,800,000 ",150,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Jalan Desa Pangkungparuk (Masuk),Desa Pangkungparuk,Kecamatan Seririt,Kabupaten Buleleng,Bali," Rp495,000,000 "," Rp368,340,000 "," Rp279,956,000 ", Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- , Rp- ," Rp49,902,000 "," Rp1,193,198,000 "," Rp1,193,200,000 ",900,210,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
