,Harga(m2)
0,846000
1,873000
2,14000000
3,452000
4,5500000
5,800000
6,5600000
7,11610000
8,3000000
9,550000
10,2500000
11,850000
12,28377408
13,1140000
14,4400000
15,5000000
16,1060000
17,845000
18,8200000
19,4500000
20,2500000
21,2500000
22,10500000
23,1800000
24,2330000
25,4060000
26,2150764
27,498062
28,19500000
29,2520000
30,3800000
31,1481384
32,2000000
33,935000
34,892000
35,4500000
36,1200000
37,573950
38,390000
39,742000
40,1212000
41,32848560
42,5400000
43,3900000
44,5000000
45,4300000
46,8000000
47,9000000
48,1000000
49,2700000
50,870000
51,870000
52,3069000
53,2300000
54,4600000
55,21646551
56,3200000
57,1090000
58,1029000
59,1060000
60,2430000
61,276000
62,2400000
63,4600000
64,8800000
65,400000
66,8600000
67,4000000
68,2340526
69,4400000
70,600000
71,7070000
72,268815
73,2700000
74,6000000
75,2830801
76,25405405
77,1326000
78,136000
79,860000
80,7500000
81,3700000
82,5080000
83,1641000
84,1000000
85,1300000
86,1480000
87,3900000
88,1100000
89,520000
90,300000
91,1300000
92,1170000
93,489035
94,74000
95,155000
96,6700000
97,6200000
99,1450000
100,1100000
101,1002000
102,1184000
103,1120000
104,5600000
105,2150000
106,21538461
107,470000
108,550000
109,300000
110,14343000
111,1000000
112,200000
113,5500000
114,11000000
115,12860000
116,318000
117,3700000
118,29720000
119,1090000
120,823000
121,2100000
122,37767857
123,552000
124,783996
125,4075000
126,2700000
127,14200000
128,3500000
129,5700000
130,1900000
131,14300000
132,170000
133,5300000
134,6000000
135,2184000
136,9400000
137,160000
138,70000
139,3500000
140,4300000
141,1300000
142,240000
143,5400000
144,280000
145,3300000
146,4100000
147,6000000
148,7800000
149,4000000
150,3280000
151,3280000
152,5300000
153,850000
154,3367275
155,3200000
156,5400000
157,1200000
158,4700000
159,1600000
160,1164000
161,54201834
162,134650
163,4200000
164,214152
165,7028571
166,160000
167,6880000
168,9100000
169,2110000
170,3658992
171,10400000
172,640000
173,3700000
174,1030000
175,4000000
176,980000
177,780000
178,9290909
179,15384615
180,6000000
181,388000
182,463009
183,6800000
184,380000
185,4500000
186,900000
187,3500000
188,340000
189,6500000
190,3000000
191,280000
192,1500000
193,4600000
194,2880000
195,7560000
196,2300000
197,780000
198,1100000
199,4700000
200,6200000
201,3100000
202,2800000
203,3560000
204,4000000
205,8000000
206,850000
207,4800000
208,6100000
209,1053000
210,2400000
211,4400000
212,1000000
213,4850000
214,10656000
215,9000000
216,13536585
217,13248000
218,5400000
219,1654000
220,1100000
221,3400000
222,1100000
223,1500000
224,772000
225,5400000
226,1809000
227,4400000
228,61014
229,2423000
230,5300000
231,2000000
232,450033
233,120005
234,7500000
235,20829838
236,1080000
237,1300000
238,15470000
239,12400000
240,14200000
241,3200000
242,12000000
243,1700000
244,1700000
245,800000
246,3520000
247,1000000
248,44322580
249,14440776
250,3680000
251,350000
252,1800000
253,346000
254,780000
255,21428571
256,12200000
257,2000000
258,2011295
259,1700000
260,860000
261,950000
262,2000000
263,4500000
264,6300000
265,2500000
266,7800000
267,2500000
268,6700000
269,1960000
270,7120000
271,4600000
272,5500000
273,21701612
274,5300000
275,4600000
276,1800000
277,5000000
278,19854545
279,5100000
280,2700000
281,2500000
282,2400000
283,1400000
284,1000000
285,800000
286,5799999
287,5700000
288,5700000
289,7600000
290,16500000
291,743000
292,19338842
293,4600000
294,24528571
295,5100000
296,198000
297,528000
298,4600000
299,800000
300,20374850
301,1800000
302,1100000
303,350000
304,400000
305,1500000
306,240000
307,110000
308,9000000
309,780000
310,615000
311,4000000
312,700000
313,4510000
314,3000000
315,982000
316,1590000
317,960000
318,5100000
319,5530000
320,2723350
321,1000000
322,7400000
323,4000000
324,4600000
325,13417000
326,5750000
327,4800000
328,11000000
329,22500000
330,2500000
331,7900000
332,8300000
333,30300000
334,5300000
335,1600000
336,5800000
337,6800000
338,3400000
339,1050000
340,1100000
341,1000000
342,118538
343,720000
344,670000
345,8500000
346,5600000
347,5580000
348,2200000
349,950000
350,5500000
351,10200000
352,3000000
353,4064039
354,5600000
355,11300000
356,2500000
357,2500000
358,4400000
359,16622333
360,400000
361,1000000
362,3800000
363,858000
364,36000
365,528260
366,3432000
367,5400000
368,2000000
369,5700000
370,775000
371,2400000
372,860000
